,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,37,1691129424,MERV - XMEV - GGAL - 24hs,6400.0,2025-06-18 14:00:02,239,2025-06-18 14:00:07.047,6450.0,61,6440.0,76,6430.0,1,6420.0,100,6400.0,1,6300.0,170,6400.0,4003,6420.0,131,6450.0,10041,6470.0,200,2025-06-18 14:00:06.766,,0,0,True,nan
1,68,1691129582,MERV - XMEV - GGAL - 24hs,6380.0,2025-06-18 14:00:02,11,2025-06-18 14:00:07.548,6370.0,17,6360.0,2,6350.0,1615,6340.0,3003,6320.0,4,6390.0,9988,6400.0,3934,6420.0,131,6450.0,41,6470.0,200,2025-06-18 14:00:07.266,,1606160,251,False,nan
2,100,1691129781,MERV - XMEV - GGAL - 24hs,6380.0,2025-06-18 14:00:02,11,2025-06-18 14:00:08.187,6370.0,17,6360.0,2,6350.0,1615,6340.0,3003,6320.0,4,6390.0,9988,6400.0,3934,6410.0,15000,6420.0,131,6450.0,41,2025-06-18 14:00:07.766,,1606160,251,False,nan
3,143,1691129949,MERV - XMEV - GGAL - 24hs,6380.0,2025-06-18 14:00:02,11,2025-06-18 14:00:08.745,6370.0,17,6360.0,3002,6350.0,1615,6340.0,3,6320.0,4,6390.0,9988,6400.0,3934,6410.0,15000,6420.0,131,6450.0,41,2025-06-18 14:00:08.266,,1606160,251,False,nan
4,257,1691130388,MERV - XMEV - GGAL - 24hs,6380.0,2025-06-18 14:00:02,11,2025-06-18 14:00:10.944,6370.0,17,6360.0,3002,6350.0,1615,6340.0,3,6320.0,4,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,6000,2025-06-18 14:00:10.515,,1606160,251,False,nan
5,287,1691130529,MERV - XMEV - GGAL - 24hs,6380.0,2025-06-18 14:00:02,11,2025-06-18 14:00:11.376,6370.0,17,6360.0,3002,6350.0,1615,6340.0,3,6320.0,4,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:11.214,,1606160,251,False,nan
6,341,1691130646,MERV - XMEV - GGAL - 24hs,6370.0,2025-06-18 14:00:12,3,2025-06-18 14:00:12.452,6370.0,17,6360.0,3002,6350.0,1615,6340.0,3,6320.0,4,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:12.355,,1606160,251,True,bid
7,364,1691130685,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:12,1,2025-06-18 14:00:12.949,6370.0,17,6360.0,3002,6350.0,1615,6340.0,3,6320.0,4,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:12.856,,3876850,608,False,nan
8,414,1691130790,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:12,1,2025-06-18 14:00:13.460,6360.0,2661,6350.0,1615,6340.0,3,6320.0,4,6310.0,1017,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:13.355,,3883210,609,False,nan
9,434,1691130828,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:13,14,2025-06-18 14:00:13.948,6360.0,2661,6350.0,1615,6340.0,3,6320.0,4,6310.0,1017,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:13.856,,3883210,609,True,bid
10,462,1691130881,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:13,14,2025-06-18 14:00:14.448,6360.0,2647,6350.0,1615,6340.0,3,6320.0,4,6310.0,1019,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:14.356,,3972250,623,False,nan
11,478,1691130915,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:14,33,2025-06-18 14:00:14.948,6360.0,2647,6350.0,1615,6340.0,3,6320.0,4,6310.0,1019,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:14.856,,3972250,623,True,bid
12,504,1691130970,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:14,33,2025-06-18 14:00:15.449,6360.0,2614,6350.0,1615,6340.0,3,6320.0,4,6310.0,1019,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,7000,2025-06-18 14:00:15.356,,4182130,656,False,nan
13,541,1691131051,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:14,33,2025-06-18 14:00:16.807,6360.0,2614,6350.0,1615,6340.0,3,6320.0,4,6310.0,1019,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,8000,2025-06-18 14:00:16.711,,4182130,656,False,nan
14,606,1691131189,MERV - XMEV - GGAL - 24hs,6360.0,2025-06-18 14:00:14,33,2025-06-18 14:00:18.713,6360.0,2614,6350.0,1615,6340.0,3,6320.0,1004,6310.0,1019,6380.0,10988,6400.0,3934,6410.0,15000,6420.0,131,6430.0,8000,2025-06-18 14:00:18.621,,4182130,656,False,nan
