,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,260,1635900243,MERV - XMEV - GGAL - 24hs,7300.0,2025-05-22 14:00:10,73,2025-05-22 14:00:12.085,7500.0,7,7400.0,65,7300.0,1,7280.0,400,7250.0,97,7050.0,10,7060.0,5,7150.0,24,7240.0,12,7250.0,17,2025-05-22 14:00:11.204,,0,0,True,nan
1,312,1635900438,MERV - XMEV - GGAL - 24hs,7330.0,2025-05-22 14:00:11,9,2025-05-22 14:00:12.746,7280.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7300.0,5,7330.0,9,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:11.702,,532900,73,True,bid
2,365,1635900692,MERV - XMEV - GGAL - 24hs,7330.0,2025-05-22 14:00:11,9,2025-05-22 14:00:13.611,7280.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,7470.0,34,2025-05-22 14:00:12.203,,635370,87,False,nan
3,738,1635901478,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:19,23,2025-05-22 14:00:19.547,7280.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,7470.0,34,2025-05-22 14:00:19.476,,635370,87,True,bid
4,766,1635901531,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:19,377,2025-05-22 14:00:20.039,7280.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,7470.0,34,2025-05-22 14:00:19.977,,802810,110,False,nan
5,788,1635901575,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:19,377,2025-05-22 14:00:20.571,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7280.0,623,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:20.499,,802810,110,False,nan
6,875,1635901739,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:19,377,2025-05-22 14:00:21.164,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7280.0,623,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:21.003,,3547370,487,False,nan
7,1615,1635903118,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:28,1,2025-05-22 14:00:29.435,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7280.0,623,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:28.967,,3547370,487,True,offer
8,1673,1635903224,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:28,1,2025-05-22 14:00:29.799,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7280.0,623,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:29.662,,3554650,488,False,nan
9,1726,1635903319,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:28,1,2025-05-22 14:00:30.224,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7280.0,622,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:30.163,,3554650,488,False,nan
10,1914,1635903750,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-22 14:00:28,1,2025-05-22 14:00:32.344,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:31.072,,3554650,488,False,nan
11,1967,1635903828,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:30,1,2025-05-22 14:00:32.628,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7320.0,15000,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:31.556,,3554650,488,True,offer
12,2024,1635903963,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:30,1,2025-05-22 14:00:33.076,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7170.0,12,7320.0,14999,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:32.054,,3561970,489,False,nan
13,2129,1635904128,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:30,1,2025-05-22 14:00:33.632,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,14999,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:32.923,,3561970,489,False,nan
14,2226,1635904282,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:34,1,2025-05-22 14:00:34.519,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,14999,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:34.450,,3561970,489,True,offer
15,2279,1635904387,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:34,1,2025-05-22 14:00:35.164,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,14998,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:35.102,,3561970,489,False,nan
16,2314,1635904441,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:34,1,2025-05-22 14:00:35.668,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,14998,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:35.602,,3569290,490,False,nan
17,2410,1635904670,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:34,1,2025-05-22 14:00:37.069,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,3,7330.0,14998,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:37.007,,3569290,490,False,nan
18,2459,1635904794,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:37,1,2025-05-22 14:00:37.912,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,3,7330.0,14998,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:37.808,,3569290,490,True,offer
19,2483,1635904847,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:38,2,2025-05-22 14:00:38.371,7260.0,400,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,3,7330.0,14998,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:38.309,,3576610,491,True,offer
20,2519,1635904923,MERV - XMEV - GGAL - 24hs,7320.0,2025-05-22 14:00:38,2,2025-05-22 14:00:38.871,7260.0,401,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7330.0,14998,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:38.807,,3591250,493,False,nan
21,2790,1635905455,MERV - XMEV - GGAL - 24hs,7330.0,2025-05-22 14:00:41,1,2025-05-22 14:00:41.381,7260.0,401,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7330.0,14998,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:41.319,,3591250,493,True,offer
22,2843,1635905576,MERV - XMEV - GGAL - 24hs,7330.0,2025-05-22 14:00:41,1,2025-05-22 14:00:41.882,7260.0,1081,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7330.0,14997,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:41.818,,3591250,493,False,nan
23,2871,1635905629,MERV - XMEV - GGAL - 24hs,7330.0,2025-05-22 14:00:41,1,2025-05-22 14:00:42.383,7260.0,1081,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7330.0,14997,7340.0,425,7350.0,10,7400.0,9,7450.0,3004,2025-05-22 14:00:42.319,,3598580,494,False,nan
24,3036,1635905954,MERV - XMEV - GGAL - 24hs,7330.0,2025-05-22 14:00:41,1,2025-05-22 14:00:44.011,7260.0,1081,7250.0,97,7240.0,91,7200.0,46,7190.0,8,7320.0,500,7330.0,14997,7340.0,425,7350.0,10,7400.0,9,2025-05-22 14:00:43.888,,3598580,494,False,nan
