,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,399,1057104591,MERV - XMEV - GGAL - 24hs,3982.0,2024-07-08 14:00:16,137,2024-07-08 14:00:16.251,4000.0,24,3990.0,15,3982.0,100,3981.0,2,3980.0,41,3900.0,102,3979.0,35,3994.15,10010,4000.0,13327,4029.0,100,2024-07-08 14:00:16.173,,0,0,True,nan
1,451,1057104707,MERV - XMEV - GGAL - 24hs,3982.0,2024-07-08 14:00:16,137,2024-07-08 14:00:17.265,3982.0,2,3981.0,2,3980.0,41,3972.0,42,3971.0,456,3994.15,10010,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:17.173,,545534,137,False,nan
2,547,1057104905,MERV - XMEV - GGAL - 24hs,3982.0,2024-07-08 14:00:19,2,2024-07-08 14:00:19.480,3982.0,2,3981.0,2,3980.0,41,3972.0,42,3971.0,456,3994.15,10010,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:19.403,,545534,137,True,bid
3,602,1057104990,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:19,1,2024-07-08 14:00:19.981,3982.0,2,3981.0,2,3980.0,41,3972.0,42,3971.0,456,3994.15,10010,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:19.903,,561460,141,False,nan
4,664,1057105076,MERV - XMEV - GGAL - 24hs,3980.0,2024-07-08 14:00:19,40,2024-07-08 14:00:20.486,3972.0,42,3971.0,456,3970.5,16,3967.0,7,3966.0,453,3980.05,10045,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:20.403,,728620,183,False,nan
5,739,1057105166,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:20.987,3972.0,42,3971.0,456,3970.5,16,3967.0,7,3966.0,453,3980.05,10045,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:20.903,,895444,225,True,offer
6,794,1057105237,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:21.487,3971.0,456,3970.5,16,3967.0,7,3966.0,453,3960.0,52,3980.05,10044,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:21.403,,899424,226,False,nan
7,1209,1057105986,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:28.675,3971.0,456,3970.5,16,3967.0,7,3966.0,453,3960.0,52,3978.65,10050,4000.0,13327,4029.0,100,4030.0,14,4037.0,5,2024-07-08 14:00:28.596,,899424,226,False,nan
8,1374,1057106330,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:32.223,3971.0,456,3970.5,16,3967.0,7,3966.0,453,3960.0,52,3978.65,10050,3999.95,1,4000.0,13327,4029.0,100,4030.0,14,2024-07-08 14:00:32.143,,899424,226,False,nan
9,1634,1057106762,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:38.623,3971.0,456,3970.5,16,3970.0,8,3967.0,7,3966.0,453,3978.65,10050,3999.95,1,4000.0,13327,4029.0,100,4030.0,14,2024-07-08 14:00:38.546,,899424,226,False,nan
10,1819,1057107057,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:42.447,3971.0,456,3970.5,16,3970.0,8,3967.0,7,3966.0,453,3978.0,120,3978.65,10050,3999.95,1,4000.0,13327,4029.0,100,2024-07-08 14:00:42.369,,899424,226,False,nan
11,2060,1057107466,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:49.188,3972.0,8,3971.0,456,3970.5,16,3967.0,7,3966.0,453,3978.0,120,3978.65,10050,3999.95,1,4000.0,13327,4029.0,100,2024-07-08 14:00:49.110,,899424,226,False,nan
12,2113,1057107565,MERV - XMEV - GGAL - 24hs,3980.05,2024-07-08 14:00:20,1,2024-07-08 14:00:50.256,3972.0,8,3971.0,556,3970.5,16,3967.0,7,3966.0,453,3978.0,120,3978.65,10050,3999.95,1,4000.0,13327,4029.0,100,2024-07-08 14:00:50.174,,899424,226,False,nan
13,2431,1057108186,MERV - XMEV - GGAL - 24hs,3978.0,2024-07-08 14:00:54,19,2024-07-08 14:00:54.560,3972.0,8,3971.0,556,3970.5,16,3967.0,7,3966.0,453,3978.0,120,3978.65,10050,3999.95,1,4000.0,13327,4029.0,100,2024-07-08 14:00:54.474,,899424,226,True,offer
