,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,22,1375186887,MERV - XMEV - GGAL - 24hs,7850.0,2025-01-20 14:00:00,1576,2025-01-20 14:00:08.999,8220.0,54,8200.0,4,8040.0,200,8010.0,5,8000.0,323,7800.0,132,7840.0,1287,7850.0,157,7930.0,1,8000.0,430,2025-01-20 14:00:08.905,,0,0,True,nan
1,43,1375186972,MERV - XMEV - GGAL - 24hs,7850.0,2025-01-20 14:00:00,1576,2025-01-20 14:00:09.503,7850.0,2411,7840.0,1336,7830.0,7,7810.0,2,7800.0,884,7930.0,1,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:09.404,,12371600,1576,False,nan
2,144,1375187257,MERV - XMEV - GGAL - 24hs,7850.0,2025-01-20 14:00:00,1576,2025-01-20 14:00:11.006,7850.0,3411,7840.0,1336,7830.0,7,7810.0,2,7800.0,884,7930.0,1,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:10.933,,12371600,1576,False,nan
3,196,1375187418,MERV - XMEV - GGAL - 24hs,7850.0,2025-01-20 14:00:00,1576,2025-01-20 14:00:11.885,7880.0,4000,7860.0,1000,7850.0,2411,7840.0,1336,7830.0,7,7930.0,1,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:11.812,,12371600,1576,False,nan
4,400,1375188002,MERV - XMEV - GGAL - 24hs,7850.0,2025-01-20 14:00:00,1576,2025-01-20 14:00:17.466,7900.0,1000,7880.0,4001,7860.0,1000,7850.0,2411,7840.0,1336,7930.0,1,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:17.394,,12371600,1576,False,nan
5,489,1375188225,MERV - XMEV - GGAL - 24hs,7930.0,2025-01-20 14:00:20,1,2025-01-20 14:00:20.227,7900.0,1000,7880.0,4001,7860.0,1000,7850.0,2411,7840.0,1336,7930.0,1,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:20.133,,12371600,1576,True,offer
6,516,1375188273,MERV - XMEV - GGAL - 24hs,7930.0,2025-01-20 14:00:20,1,2025-01-20 14:00:20.731,7930.0,11,7900.0,1001,7880.0,4001,7860.0,1000,7850.0,2411,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:20.658,,12371600,1576,False,nan
7,525,1375188306,MERV - XMEV - GGAL - 24hs,7930.0,2025-01-20 14:00:20,1,2025-01-20 14:00:21.256,7930.0,11,7900.0,1001,7880.0,4001,7860.0,1000,7850.0,2411,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:21.158,,12379530,1577,False,nan
8,588,1375188502,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:23,2,2025-01-20 14:00:23.467,7930.0,11,7900.0,1001,7880.0,4001,7860.0,1000,7850.0,2411,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:23.388,,12379530,1577,True,offer
9,601,1375188527,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:23,85,2025-01-20 14:00:23.961,7930.0,11,7900.0,1001,7880.0,4001,7860.0,1000,7850.0,2411,8000.0,430,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:23.888,,12379530,1577,False,nan
10,625,1375188586,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:23,85,2025-01-20 14:00:24.464,7930.0,12,7900.0,1001,7880.0,4001,7860.0,1000,7850.0,2411,8000.0,343,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:24.388,,13075530,1664,False,nan
11,674,1375188721,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:25,12,2025-01-20 14:00:25.621,7930.0,12,7900.0,1001,7880.0,4001,7860.0,1000,7850.0,2411,8000.0,343,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:25.543,,13075530,1664,True,offer
12,687,1375188747,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:25,12,2025-01-20 14:00:26.117,7930.0,12,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,331,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:26.044,,13075530,1664,False,nan
13,726,1375188860,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:25,12,2025-01-20 14:00:26.617,7930.0,12,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,331,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:26.544,,13171530,1676,False,nan
14,948,1375189400,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:25,12,2025-01-20 14:00:30.147,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,331,8040.0,1000,8100.0,630,8160.0,19,8220.0,2469,2025-01-20 14:00:30.062,,13171530,1676,False,nan
15,1004,1375189508,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:25,12,2025-01-20 14:00:30.933,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,331,8030.0,628,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:30.855,,13171530,1676,False,nan
16,1045,1375189587,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:31,7,2025-01-20 14:00:31.483,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,331,8030.0,628,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:31.410,,13171530,1676,True,offer
17,1083,1375189650,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:31,7,2025-01-20 14:00:32.148,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,324,8030.0,628,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:32.076,,13171530,1676,False,nan
18,1106,1375189697,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:31,7,2025-01-20 14:00:32.648,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,324,8030.0,628,8040.0,1000,8100.0,630,8160.0,19,2025-01-20 14:00:32.576,,13227530,1683,False,nan
19,1195,1375189891,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:31,7,2025-01-20 14:00:35.240,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,324,8030.0,583,8040.0,1000,8100.0,630,8160.0,519,2025-01-20 14:00:35.168,,13227530,1683,False,nan
20,1224,1375189964,MERV - XMEV - GGAL - 24hs,7920.0,2025-01-20 14:00:35,19,2025-01-20 14:00:35.740,7930.0,13,7920.0,1000,7900.0,1001,7880.0,4001,7850.0,2411,8000.0,324,8030.0,583,8040.0,1000,8100.0,630,8160.0,519,2025-01-20 14:00:35.667,,13227530,1683,True,bid
21,1252,1375190009,MERV - XMEV - GGAL - 24hs,7920.0,2025-01-20 14:00:35,19,2025-01-20 14:00:36.291,7920.0,981,7900.0,1001,7880.0,4001,7850.0,2411,7840.0,1336,8000.0,324,8030.0,582,8040.0,1000,8100.0,630,8160.0,519,2025-01-20 14:00:36.219,,13227530,1683,False,nan
22,1270,1375190041,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:36,28,2025-01-20 14:00:36.797,7920.0,981,7900.0,1001,7880.0,4001,7850.0,2411,7840.0,1336,8000.0,324,8030.0,582,8040.0,1000,8100.0,630,8160.0,519,2025-01-20 14:00:36.720,,13481100,1715,True,offer
23,1301,1375190098,MERV - XMEV - GGAL - 24hs,8000.0,2025-01-20 14:00:36,28,2025-01-20 14:00:37.293,7920.0,981,7900.0,1001,7880.0,4001,7850.0,2411,7840.0,1336,8000.0,1000,8030.0,209,8040.0,1000,8100.0,630,8160.0,519,2025-01-20 14:00:37.220,,16073100,2039,False,nan
