,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,304,1106309076,MERV - XMEV - GGAL - 24hs,4030.0,2024-08-09 14:00:16,1074,2024-08-09 14:00:16.436,4100.0,1,4080.0,490,4050.0,37,4035.0,106,4030.0,500,3850.0,5,4000.0,9,4015.0,48,4020.0,1009,4030.0,3,2024-08-09 14:00:16.350,,0,0,True,nan
1,350,1106309159,MERV - XMEV - GGAL - 24hs,4030.0,2024-08-09 14:00:16,1074,2024-08-09 14:00:17.430,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,250,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:17.349,,4328220,1074,False,nan
2,401,1106309239,MERV - XMEV - GGAL - 24hs,4030.0,2024-08-09 14:00:16,1074,2024-08-09 14:00:18.504,4030.0,60,4025.0,745,4020.0,506,4005.0,200,4000.0,249,4035.0,250,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:18.423,,4328220,1074,False,nan
3,496,1106309399,MERV - XMEV - GGAL - 24hs,4030.0,2024-08-09 14:00:16,1074,2024-08-09 14:00:21.185,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,250,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:21.108,,4328220,1074,False,nan
4,1053,1106310216,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:28,2,2024-08-09 14:00:30.888,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,250,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:30.805,,4328220,1074,True,offer
5,1118,1106310308,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:28,2,2024-08-09 14:00:31.475,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,248,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:31.368,,4328220,1074,False,nan
6,1193,1106310409,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:28,2,2024-08-09 14:00:31.946,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,248,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:31.869,,4336290,1076,False,nan
7,1422,1106310711,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:33,198,2024-08-09 14:00:34.096,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,248,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:34.015,,4336290,1076,True,offer
8,1454,1106310764,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:33,50,2024-08-09 14:00:34.597,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4035.0,248,4045.0,4,4050.0,195,4060.0,7,4080.0,264,2024-08-09 14:00:34.516,,4336290,1076,False,nan
9,1484,1106310807,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:33,50,2024-08-09 14:00:35.093,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4045.0,4,4050.0,195,4060.0,7,4080.0,264,4090.0,10,2024-08-09 14:00:35.016,,5336970,1324,False,nan
10,2192,1106312062,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:33,50,2024-08-09 14:00:47.737,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4045.0,4,4050.0,195,4060.0,507,4080.0,264,4090.0,10,2024-08-09 14:00:47.623,,5336970,1324,False,nan
11,2715,1106312895,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:33,50,2024-08-09 14:00:57.297,4030.0,60,4025.0,745,4020.0,206,4005.0,200,4000.0,249,4045.0,4,4050.0,195,4060.0,507,4080.0,264,4090.0,510,2024-08-09 14:00:57.219,,5336970,1324,False,nan
12,3325,1106313941,MERV - XMEV - GGAL - 24hs,4035.0,2024-08-09 14:00:33,50,2024-08-09 14:01:08.817,4025.0,745,4020.0,206,4005.0,200,4000.0,249,3990.0,200,4045.0,4,4050.0,195,4060.0,507,4080.0,264,4090.0,510,2024-08-09 14:01:08.738,,5336970,1324,False,nan
13,3446,1106314130,MERV - XMEV - GGAL - 24hs,4045.0,2024-08-09 14:01:11,4,2024-08-09 14:01:11.393,4025.0,745,4020.0,206,4005.0,200,4000.0,249,3990.0,200,4045.0,4,4050.0,195,4060.0,507,4080.0,264,4090.0,510,2024-08-09 14:01:11.312,,5336970,1324,True,offer
