,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat,OFI
0,311,1112271597,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:15,615,2024-08-14 14:00:15.306,4310.0,10,4300.0,47,4250.0,33,4200.0,100,4195.0,423,4100.0,60,4135.0,490,4170.0,31,4180.0,15,4185.0,19,2024-08-14 14:00:15.233000,,0,0,True,nan,0.0
1,339,1112271674,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:15,615,2024-08-14 14:00:16.306,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,30,4195.0,35,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,2024-08-14 14:00:16.232000,,2576850,615,False,nan,0.0
2,484,1112271963,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:15,615,2024-08-14 14:00:19.775,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4195.0,35,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,2024-08-14 14:00:19.706000,,2576850,615,False,nan,0.0
3,528,1112272041,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:20,35,2024-08-14 14:00:20.795,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4195.0,35,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,2024-08-14 14:00:20.723000,,2576850,615,True,offer,1.0
4,563,1112272104,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:20,35,2024-08-14 14:00:21.415,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:21.346000,,2576850,615,False,nan,1.0
5,579,1112272139,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:20,35,2024-08-14 14:00:21.915,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:21.846000,,2723675,650,False,nan,1.0
6,703,1112272373,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,5,2024-08-14 14:00:24.886,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:24.812000,,2723675,650,True,offer,1.0
7,749,1112272443,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,22,2024-08-14 14:00:25.400,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:25.313000,,2723675,650,False,nan,1.0
8,774,1112272488,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,22,2024-08-14 14:00:25.901,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:25.813000,,3021875,721,False,nan,1.0
9,870,1112272641,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,22,2024-08-14 14:00:27.558,4195.0,12,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:27.488000,,3021875,721,False,nan,1.0
10,1581,1112273938,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:37,12,2024-08-14 14:00:38.057,4195.0,12,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:37.979000,,3021875,721,True,bid,0.3333333333333333
11,1668,1112274063,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:37,13,2024-08-14 14:00:38.591,4195.0,12,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:38.479000,,3021875,721,False,nan,0.3333333333333333
12,1735,1112274155,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:37,13,2024-08-14 14:00:39.050,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:38.979000,,3126685,746,False,nan,0.3333333333333333
13,2104,1112274891,MERV - XMEV - GGAL - 24hs,4205.0,2024-08-14 14:00:42,6,2024-08-14 14:00:43.058,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:42.988000,,3126685,746,True,offer,0.5
14,2138,1112274959,MERV - XMEV - GGAL - 24hs,4205.0,2024-08-14 14:00:42,49,2024-08-14 14:00:43.557,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:43.488000,,3126685,746,False,nan,0.5
15,2181,1112275022,MERV - XMEV - GGAL - 24hs,4205.0,2024-08-14 14:00:42,49,2024-08-14 14:00:44.059,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:43.988000,,3357960,801,False,nan,0.5
16,2214,1112275072,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:00:44,1,2024-08-14 14:00:44.560,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:44.488000,,3357960,801,True,offer,0.6
17,2251,1112275137,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:00:44,1,2024-08-14 14:00:45.059,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4210.0,7,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:44.988000,,3362170,802,False,nan,0.6
18,2412,1112275402,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:00:44,1,2024-08-14 14:00:48.371,4190.0,985,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,7,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:48.302000,,3362170,802,False,nan,0.6
19,2688,1112275901,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:54,11,2024-08-14 14:00:54.331,4190.0,985,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,7,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:54.262000,,3362170,802,True,bid,0.3333333333333333
20,2721,1112275959,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:54,11,2024-08-14 14:00:55.014,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,7,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:54.937000,,3362170,802,False,nan,0.3333333333333333
21,2747,1112276015,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:54,11,2024-08-14 14:00:55.506,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,7,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:55.437000,,3408260,813,False,nan,0.3333333333333333
22,2827,1112276135,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:54,11,2024-08-14 14:00:57.047,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3007,4215.0,2000,4220.0,153,4230.0,60,4235.0,32,2024-08-14 14:00:56.978000,,3408260,813,False,nan,0.3333333333333333
23,3137,1112276622,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:54,11,2024-08-14 14:01:02.198,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3007,4220.0,2153,4230.0,60,4235.0,32,4240.0,14,2024-08-14 14:01:02.128000,,3408260,813,False,nan,0.3333333333333333
24,3258,1112276854,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:54,11,2024-08-14 14:01:04.627,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3007,4220.0,2153,4230.0,60,4235.0,16,4240.0,14,2024-08-14 14:01:04.549000,,3408260,813,False,nan,0.3333333333333333
25,3695,1112277595,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:12,1,2024-08-14 14:01:12.764,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3007,4220.0,2153,4230.0,60,4235.0,16,4240.0,14,2024-08-14 14:01:12.695000,,3408260,813,True,offer,0.42857142857142855
26,3726,1112277647,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:01:12,44,2024-08-14 14:01:13.264,4190.0,974,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3007,4220.0,2153,4230.0,60,4235.0,16,4240.0,14,2024-08-14 14:01:13.195000,,3412470,814,False,nan,0.42857142857142855
27,3761,1112277703,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:01:12,44,2024-08-14 14:01:13.769,4190.0,930,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3006,4220.0,2153,4230.0,60,4235.0,16,4240.0,14,2024-08-14 14:01:13.694000,,3596830,858,False,nan,0.42857142857142855
28,3952,1112278008,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:01:12,44,2024-08-14 14:01:17.136,4190.0,930,4185.0,5000,4180.0,110,4175.0,8,4170.0,30,4210.0,3006,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:01:17.067000,,3596830,858,False,nan,0.42857142857142855
29,4309,1112278534,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:01:12,44,2024-08-14 14:01:23.158,4195.0,500,4190.0,930,4185.0,5000,4180.0,110,4175.0,8,4210.0,3006,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:01:23.088000,,3596830,858,False,nan,0.42857142857142855
30,4409,1112278691,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:01:12,44,2024-08-14 14:01:24.872,4195.0,510,4190.0,930,4185.0,5000,4180.0,110,4175.0,8,4210.0,3016,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:01:24.802000,,3596830,858,False,nan,0.42857142857142855
31,4700,1112279163,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:01:12,44,2024-08-14 14:01:30.155,4190.0,930,4185.0,5000,4180.0,120,4175.0,8,4170.0,30,4210.0,3006,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:30.086000,,3596830,858,False,nan,0.42857142857142855
32,5035,1112279665,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:36,6,2024-08-14 14:01:36.432,4190.0,930,4185.0,5000,4180.0,120,4175.0,8,4170.0,30,4210.0,3006,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:36.361000,,3596830,858,True,offer,0.5
33,5075,1112279720,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:36,94,2024-08-14 14:01:36.931,4190.0,930,4185.0,5000,4180.0,120,4175.0,8,4170.0,30,4210.0,3006,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:36.861000,,3596830,858,False,nan,0.5
34,5105,1112279758,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:36,11,2024-08-14 14:01:37.431,4190.0,930,4185.0,5000,4180.0,120,4175.0,8,4170.0,30,4210.0,2895,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:37.361000,,4064140,969,False,nan,0.5
35,5242,1112279946,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:36,11,2024-08-14 14:01:39.011,4190.0,930,4185.0,5001,4180.0,120,4175.0,8,4170.0,30,4210.0,2895,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:38.941000,,4064140,969,False,nan,0.5
36,5397,1112280166,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:41,2,2024-08-14 14:01:41.137,4190.0,930,4185.0,5001,4180.0,120,4175.0,8,4170.0,30,4210.0,2895,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:41.053000,,4064140,969,True,offer,0.5555555555555556
37,5424,1112280208,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:41,2,2024-08-14 14:01:41.624,4190.0,930,4185.0,10001,4180.0,120,4175.0,8,4170.0,30,4210.0,2893,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:41.554000,,4064140,969,False,nan,0.5555555555555556
38,5468,1112280265,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:41,2,2024-08-14 14:01:42.124,4190.0,930,4185.0,10001,4180.0,120,4175.0,8,4170.0,30,4210.0,2893,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:42.054000,,4072560,971,False,nan,0.5555555555555556
39,5815,1112280778,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:41,2,2024-08-14 14:01:46.678,4190.0,930,4185.0,10001,4180.0,120,4175.0,8,4170.0,30,4210.0,2913,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:46.601000,,4072560,971,False,nan,0.5555555555555556
40,6008,1112281062,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:41,2,2024-08-14 14:01:49.159,4185.0,10001,4180.0,120,4175.0,8,4170.0,30,4160.0,30,4210.0,2913,4220.0,2153,4225.0,12,4230.0,60,4235.0,16,2024-08-14 14:01:49.090000,,4072560,971,False,nan,0.5555555555555556
41,6333,1112281553,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:41,2,2024-08-14 14:01:53.429,4190.0,10,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4205.0,10,4210.0,2913,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:01:53.357000,,4072560,971,False,nan,0.5555555555555556
42,6379,1112281627,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:01:53.948,4190.0,10,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4205.0,10,4210.0,2913,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:01:53.858000,,4072560,971,True,offer,0.6
43,6423,1112281696,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:01:54.427,4190.0,10,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,2852,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:01:54.358000,,4371420,1042,False,nan,0.6
44,6753,1112282183,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:01:58.311,4185.0,10001,4180.0,110,4175.0,18,4170.0,30,4160.0,30,4210.0,2852,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:01:58.241000,,4371420,1042,False,nan,0.6
45,6814,1112282271,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:01:58.832,4195.0,20,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,2852,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:01:58.761000,,4371420,1042,False,nan,0.6
46,7094,1112282850,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:02:01.749,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,2852,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:01.679000,,4371420,1042,False,nan,0.6
47,7658,1112283697,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:02:09.123,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,20,4215.0,2832,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:09.053000,,4371420,1042,False,nan,0.6
48,8020,1112284311,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:01:53,61,2024-08-14 14:02:14.442,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,40,4215.0,2832,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:14.372000,,4371420,1042,False,nan,0.6
49,8057,1112284369,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:14,20,2024-08-14 14:02:14.942,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,40,4215.0,2832,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:14.872000,,4371420,1042,True,offer,0.6363636363636364
50,8091,1112284423,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:15,20,2024-08-14 14:02:15.443,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2832,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:15.372000,,4539820,1082,True,offer,0.6666666666666666
51,8143,1112284497,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:16,1,2024-08-14 14:02:16.094,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2832,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:16.025000,,4539820,1082,True,offer,0.6923076923076923
52,8186,1112284557,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:16,1,2024-08-14 14:02:16.595,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2831,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:16.526000,,4539820,1082,False,nan,0.6923076923076923
53,8223,1112284613,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:16,1,2024-08-14 14:02:17.096,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2831,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:17.026000,,4544035,1083,False,nan,0.6923076923076923
54,8495,1112285032,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:19,23,2024-08-14 14:02:19.870,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2831,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:19.801000,,4544035,1083,True,offer,0.7142857142857143
55,8528,1112285088,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:19,23,2024-08-14 14:02:20.537,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:20.468000,,4544035,1083,False,nan,0.7142857142857143
56,8572,1112285155,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:19,23,2024-08-14 14:02:21.038,4210.0,15,4190.0,20,4185.0,10001,4180.0,110,4175.0,8,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:20.969000,,4640980,1106,False,nan,0.7142857142857143
57,8662,1112285288,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:19,23,2024-08-14 14:02:22.630,4210.0,15,4190.0,270,4185.0,10001,4180.0,110,4175.0,8,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:22.535000,,4640980,1106,False,nan,0.7142857142857143
58,8728,1112285382,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:19,23,2024-08-14 14:02:23.332,4210.0,15,4190.0,285,4185.0,10001,4180.0,110,4175.0,8,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:23.261000,,4640980,1106,False,nan,0.7142857142857143
59,8922,1112285669,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:26,15,2024-08-14 14:02:26.173,4210.0,15,4190.0,285,4185.0,10001,4180.0,110,4175.0,8,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:26.103000,,4640980,1106,True,bid,0.6
60,8943,1112285706,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:02:26,165,2024-08-14 14:02:26.672,4210.0,15,4190.0,285,4185.0,10001,4180.0,110,4175.0,8,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:26.603000,,4640980,1106,False,nan,0.6
61,8984,1112285763,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:26,11,2024-08-14 14:02:27.174,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4170.0,30,4210.0,20,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:27.103000,,5479280,1306,False,nan,0.6
62,9008,1112285798,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:26,11,2024-08-14 14:02:27.672,4195.0,11,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,9,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:27.603000,,5525590,1317,False,nan,0.6
63,9089,1112285914,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:28,9,2024-08-14 14:02:29.061,4195.0,11,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,9,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:28.991000,,5525590,1317,True,offer,0.625
64,9109,1112285947,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:28,1,2024-08-14 14:02:29.560,4195.0,11,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,9,4215.0,2808,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:29.491000,,5525590,1317,False,nan,0.625
65,9138,1112285994,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:28,1,2024-08-14 14:02:30.060,4190.0,100,4185.0,10001,4180.0,120,4175.0,8,4170.0,30,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:29.991000,,5567695,1327,False,nan,0.625
66,9256,1112286159,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:28,1,2024-08-14 14:02:31.803,4195.0,20,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,4235.0,16,2024-08-14 14:02:31.720000,,5567695,1327,False,nan,0.625
67,9394,1112286356,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:28,1,2024-08-14 14:02:33.599,4190.0,100,4185.0,10001,4180.0,130,4175.0,8,4170.0,30,4210.0,106,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:33.528000,,5567695,1327,False,nan,0.625
68,9467,1112286454,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:28,1,2024-08-14 14:02:34.826,4195.0,20,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,106,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:34.757000,,5567695,1327,False,nan,0.625
69,9530,1112286541,MERV - XMEV - GGAL - 24hs,4215.0,2024-08-14 14:02:28,1,2024-08-14 14:02:35.606,4190.0,100,4185.0,10001,4180.0,130,4175.0,8,4170.0,30,4210.0,106,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:35.537000,,5567695,1327,False,nan,0.625
70,9574,1112286605,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:35,3,2024-08-14 14:02:36.106,4190.0,100,4185.0,10001,4180.0,130,4175.0,8,4170.0,30,4210.0,106,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:36.037000,,5567695,1327,True,offer,0.6470588235294118
71,9599,1112286637,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:35,3,2024-08-14 14:02:36.606,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,203,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:36.537000,,5580325,1330,False,nan,0.6470588235294118
72,10024,1112287274,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:35,3,2024-08-14 14:02:43.270,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,208,4215.0,2807,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:43.201000,,5580325,1330,False,nan,0.6470588235294118
73,10307,1112287699,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:35,3,2024-08-14 14:02:48.281,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,208,4215.0,2835,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:48.201000,,5580325,1330,False,nan,0.6470588235294118
74,10369,1112287776,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:35,3,2024-08-14 14:02:49.289,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,208,4215.0,28,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:49.220000,,5580325,1330,False,nan,0.6470588235294118
75,10505,1112287986,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:51,10,2024-08-14 14:02:51.576,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,208,4215.0,28,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:51.507000,,5580325,1330,True,offer,0.6666666666666666
76,10547,1112288050,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:51,10,2024-08-14 14:02:52.133,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,198,4215.0,28,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:52.063000,,5580325,1330,False,nan,0.6666666666666666
77,10573,1112288089,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:51,10,2024-08-14 14:02:52.636,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,198,4215.0,28,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:52.563000,,5622425,1340,False,nan,0.6666666666666666
78,10657,1112288206,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:51,10,2024-08-14 14:02:53.746,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,198,4215.0,1528,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:53.673000,,5622425,1340,False,nan,0.6666666666666666
79,10799,1112288414,MERV - XMEV - GGAL - 24hs,4210.0,2024-08-14 14:02:55,1,2024-08-14 14:02:56.106,4195.0,10,4190.0,100,4185.0,10001,4180.0,110,4175.0,8,4210.0,198,4215.0,1528,4220.0,2153,4225.0,2,4230.0,60,2024-08-14 14:02:56.031000,,5622425,1340,True,offer,0.6842105263157895
