,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,602,1137800993,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:19,468,2024-09-02 14:00:19.417,5150.0,45,5120.0,43,5100.0,537,5080.0,3,5070.0,305,5000.0,22,5070.0,126,5080.0,23,5100.0,297,5120.0,24,2024-09-02 14:00:19.334,,0,0,True,nan
1,617,1137801014,MERV - XMEV - GGAL - 24hs,5060.0,2024-09-02 14:00:19,200,2024-09-02 14:00:19.921,5150.0,45,5120.0,43,5100.0,537,5080.0,3,5070.0,305,5000.0,22,5070.0,126,5080.0,23,5100.0,297,5120.0,24,2024-09-02 14:00:19.834,,0,0,False,nan
2,638,1137801046,MERV - XMEV - GGAL - 24hs,5060.0,2024-09-02 14:00:19,200,2024-09-02 14:00:20.433,5060.0,103,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5100.0,4,5120.0,24,5150.0,2062,5180.0,18,5190.0,40,2024-09-02 14:00:20.334,,6444190,1268,False,nan
3,701,1137801136,MERV - XMEV - GGAL - 24hs,5060.0,2024-09-02 14:00:21,1,2024-09-02 14:00:21.646,5060.0,103,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5100.0,4,5120.0,24,5150.0,2062,5180.0,18,5190.0,40,2024-09-02 14:00:21.563,,6444190,1268,True,bid
4,738,1137801188,MERV - XMEV - GGAL - 24hs,5060.0,2024-09-02 14:00:21,1,2024-09-02 14:00:22.301,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5100.0,4,5120.0,24,5150.0,2061,5180.0,18,5190.0,40,2024-09-02 14:00:22.201,,6444190,1268,False,nan
5,780,1137801243,MERV - XMEV - GGAL - 24hs,5060.0,2024-09-02 14:00:21,1,2024-09-02 14:00:22.785,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5100.0,4,5120.0,24,5150.0,2061,5180.0,18,5190.0,40,2024-09-02 14:00:22.701,,6449250,1269,False,nan
6,1402,1137802248,MERV - XMEV - GGAL - 24hs,5060.0,2024-09-02 14:00:21,1,2024-09-02 14:00:32.576,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5100.0,4,5120.0,24,5150.0,2071,5180.0,18,5190.0,40,2024-09-02 14:00:32.492,,6449250,1269,False,nan
7,1445,1137802311,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:32,4,2024-09-02 14:00:33.087,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5100.0,4,5120.0,24,5150.0,2071,5180.0,18,5190.0,40,2024-09-02 14:00:32.992,,6449250,1269,True,offer
8,1472,1137802348,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:32,4,2024-09-02 14:00:33.576,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5110.0,9,5120.0,24,5150.0,2071,5180.0,18,5190.0,40,2024-09-02 14:00:33.493,,6469650,1273,False,nan
9,1652,1137802602,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:37,9,2024-09-02 14:00:38.200,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5020.0,8,5110.0,9,5120.0,24,5150.0,2071,5180.0,18,5190.0,40,2024-09-02 14:00:38.116,,6469650,1273,True,offer
10,1687,1137802651,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:37,9,2024-09-02 14:00:38.699,5100.0,13,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5120.0,24,5150.0,2071,5180.0,18,5190.0,40,5200.0,1671,2024-09-02 14:00:38.615,,6561450,1291,False,nan
11,1723,1137802695,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:37,9,2024-09-02 14:00:39.199,5100.0,13,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5120.0,24,5150.0,2071,5180.0,18,5190.0,40,5200.0,1671,2024-09-02 14:00:39.115,,6607350,1300,False,nan
12,1867,1137802902,MERV - XMEV - GGAL - 24hs,5100.0,2024-09-02 14:00:37,9,2024-09-02 14:00:41.778,5100.0,13,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5120.0,24,5150.0,2071,5180.0,28,5190.0,40,5200.0,1671,2024-09-02 14:00:41.695,,6607350,1300,False,nan
13,2082,1137803205,MERV - XMEV - GGAL - 24hs,5120.0,2024-09-02 14:00:46,8,2024-09-02 14:00:47.084,5100.0,13,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5120.0,24,5150.0,2071,5180.0,28,5190.0,40,5200.0,1671,2024-09-02 14:00:47.001,,6607350,1300,True,offer
14,2097,1137803225,MERV - XMEV - GGAL - 24hs,5150.0,2024-09-02 14:00:46,24,2024-09-02 14:00:47.590,5100.0,13,5060.0,102,5050.0,160,5040.0,19,5030.0,63,5120.0,24,5150.0,2071,5180.0,28,5190.0,40,5200.0,1671,2024-09-02 14:00:47.501,,6607350,1300,False,nan
