,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,261,1123813799,MERV - XMEV - GGAL - 24hs,4355.0,2024-08-22 14:00:11,9,2024-08-22 14:00:15.182,4350.0,3162,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4360.0,643,4375.0,17,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:00:15.010,,3588750,825,True,nan
1,288,1123813863,MERV - XMEV - GGAL - 24hs,4355.0,2024-08-22 14:00:11,9,2024-08-22 14:00:15.595,4350.0,3162,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4360.0,643,4375.0,17,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:00:15.510,,3627945,834,False,nan
2,329,1123813955,MERV - XMEV - GGAL - 24hs,4375.0,2024-08-22 14:00:14,12,2024-08-22 14:00:16.537,4350.0,3162,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4360.0,643,4375.0,17,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:00:16.446,,3627945,834,True,offer
3,376,1123814082,MERV - XMEV - GGAL - 24hs,4375.0,2024-08-22 14:00:14,1,2024-08-22 14:00:17.066,4350.0,3162,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,4400.0,8944,2024-08-22 14:00:16.947,,3684820,847,False,nan
4,574,1123814522,MERV - XMEV - GGAL - 24hs,4350.0,2024-08-22 14:00:20,2,2024-08-22 14:00:20.920,4350.0,3162,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,4400.0,8944,2024-08-22 14:00:20.836,,3684820,847,True,bid
5,620,1123814615,MERV - XMEV - GGAL - 24hs,4350.0,2024-08-22 14:00:20,2,2024-08-22 14:00:21.899,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,4400.0,8944,2024-08-22 14:00:21.697,,3684820,847,False,nan
6,643,1123814650,MERV - XMEV - GGAL - 24hs,4350.0,2024-08-22 14:00:20,2,2024-08-22 14:00:22.235,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,4400.0,8944,2024-08-22 14:00:22.150,,3693520,849,False,nan
7,862,1123815031,MERV - XMEV - GGAL - 24hs,4350.0,2024-08-22 14:00:20,2,2024-08-22 14:00:26.663,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,4400.0,8994,2024-08-22 14:00:26.573,,3693520,849,False,nan
8,2563,1123817863,MERV - XMEV - GGAL - 24hs,4350.0,2024-08-22 14:00:20,2,2024-08-22 14:00:55.814,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4370.0,1,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:00:55.724,,3693520,849,False,nan
9,2667,1123818047,MERV - XMEV - GGAL - 24hs,4350.0,2024-08-22 14:00:20,2,2024-08-22 14:00:58.695,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4370.0,5001,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:00:58.611,,3693520,849,False,nan
10,2957,1123818527,MERV - XMEV - GGAL - 24hs,4370.0,2024-08-22 14:01:04,1,2024-08-22 14:01:04.779,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4370.0,5001,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:01:04.696,,3693520,849,True,offer
11,2991,1123818592,MERV - XMEV - GGAL - 24hs,4370.0,2024-08-22 14:01:04,1,2024-08-22 14:01:05.474,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:01:05.390,,3693520,849,False,nan
12,3012,1123818633,MERV - XMEV - GGAL - 24hs,4370.0,2024-08-22 14:01:04,1,2024-08-22 14:01:05.974,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,4390.0,524,2024-08-22 14:01:05.891,,3697890,850,False,nan
13,3105,1123818777,MERV - XMEV - GGAL - 24hs,4370.0,2024-08-22 14:01:04,1,2024-08-22 14:01:07.853,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4365.0,2000,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,2024-08-22 14:01:07.770,,3697890,850,False,nan
14,3141,1123818832,MERV - XMEV - GGAL - 24hs,4365.0,2024-08-22 14:01:07,822,2024-08-22 14:01:08.353,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4365.0,2000,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,2024-08-22 14:01:08.270,,3697890,850,True,offer
15,3169,1123818874,MERV - XMEV - GGAL - 24hs,4365.0,2024-08-22 14:01:07,822,2024-08-22 14:01:08.853,4350.0,3170,4320.0,40,4315.0,9270,4300.0,302,4295.0,2,4365.0,1188,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,2024-08-22 14:01:08.770,,7285920,1672,False,nan
16,3453,1123819344,MERV - XMEV - GGAL - 24hs,4365.0,2024-08-22 14:01:07,822,2024-08-22 14:01:14.634,4355.0,850,4350.0,3170,4320.0,40,4315.0,9270,4300.0,302,4365.0,1188,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,2024-08-22 14:01:14.547,,7285920,1672,False,nan
17,3488,1123819418,MERV - XMEV - GGAL - 24hs,4365.0,2024-08-22 14:01:07,822,2024-08-22 14:01:15.462,4355.0,860,4350.0,3160,4320.0,40,4315.0,9270,4300.0,302,4365.0,1188,4370.0,5000,4375.0,4,4380.0,100,4385.0,2909,2024-08-22 14:01:15.375,,7285920,1672,False,nan
