,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,279,1041249912,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:13,3919,2024-06-28 14:00:13.607,4425.0,25,4420.0,29,4400.0,11,4300.0,30,4283.0,1,4190.0,2000,4240.0,3275,4255.0,5000,4260.0,750,4269.0,10000,2024-06-28 14:00:13.524,,0,0,True,nan
1,294,1041249944,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:13,3919,2024-06-28 14:00:14.103,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,1356,4255.0,5000,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:14.024,,0,0,False,nan
2,337,1041250028,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:14,1,2024-06-28 14:00:15.123,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,1356,4255.0,5000,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:15.043,,16616560,3919,True,offer
3,359,1041250069,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:14,1,2024-06-28 14:00:15.622,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,1355,4255.0,5000,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:15.543,,16620800,3920,False,nan
4,472,1041250305,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:14,1,2024-06-28 14:00:17.876,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4190.0,10,4240.0,1355,4255.0,5000,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:17.791,,16620800,3920,False,nan
5,832,1041250964,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:14,1,2024-06-28 14:00:24.452,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4190.0,10,4240.0,1355,4260.0,750,4269.0,10000,4270.0,2000,4275.0,2069,2024-06-28 14:00:24.368,,16620800,3920,False,nan
6,1325,1041251702,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:14,1,2024-06-28 14:00:31.271,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4190.0,10,4240.0,1355,4250.0,433,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:31.183,,16620800,3920,False,nan
7,1463,1041251921,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:14,1,2024-06-28 14:00:33.588,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,1355,4250.0,433,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:33.490,,16620800,3920,False,nan
8,1488,1041251962,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:33,1000,2024-06-28 14:00:34.079,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,1355,4250.0,433,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:33.990,,16620800,3920,True,offer
9,1509,1041251998,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:33,1000,2024-06-28 14:00:34.576,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,355,4250.0,433,4260.0,750,4269.0,10000,4270.0,2000,2024-06-28 14:00:34.491,,20860800,4920,False,nan
10,1564,1041252103,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:33,1000,2024-06-28 14:00:35.626,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4240.0,355,4250.0,433,4260.0,750,4268.0,2000,4269.0,10000,2024-06-28 14:00:35.547,,20860800,4920,False,nan
11,1720,1041252426,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:00:33,1000,2024-06-28 14:00:38.626,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,50,4240.0,355,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:00:38.546,,20860800,4920,False,nan
12,1834,1041252606,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:00:40,10,2024-06-28 14:00:40.592,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,50,4240.0,355,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:00:40.513,,20860800,4920,True,offer
13,1869,1041252654,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:00:40,10,2024-06-28 14:00:41.257,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,40,4240.0,355,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:00:41.178,,20860800,4920,False,nan
14,1896,1041252694,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:00:40,10,2024-06-28 14:00:41.757,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,40,4240.0,355,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:00:41.678,,20903200,4930,False,nan
15,1923,1041252743,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:00:42,136,2024-06-28 14:00:42.259,4230.0,5,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,40,4240.0,355,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:00:42.178,,20924350,4935,True,bid
16,1945,1041252786,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:00:42,136,2024-06-28 14:00:42.757,4230.0,64,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,40,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:00:42.678,,21499630,5071,False,nan
17,3338,1041254828,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:01,64,2024-06-28 14:01:02.107,4230.0,64,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4239.95,40,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:02.024,,21499630,5071,True,bid
18,3383,1041254919,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:01,64,2024-06-28 14:01:02.754,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4172.0,30,4230.0,9936,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:02.646,,21499630,5071,False,nan
19,3417,1041254983,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:01,64,2024-06-28 14:01:03.227,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4172.0,30,4230.0,9936,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:03.148,,21770350,5135,False,nan
20,4021,1041255799,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:07,58,2024-06-28 14:01:07.476,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4172.0,30,4230.0,9936,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:07.170,,21770350,5135,True,offer
21,4098,1041255901,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:07,58,2024-06-28 14:01:07.917,4217.0,10,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4230.0,9878,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:07.836,,21770350,5135,False,nan
22,4139,1041255956,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:07,58,2024-06-28 14:01:08.416,4217.0,10,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4230.0,9878,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:08.337,,22015690,5193,False,nan
23,4468,1041256435,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:13,6,2024-06-28 14:01:13.171,4217.0,10,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4230.0,9878,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:13.090,,22015690,5193,True,offer
24,4502,1041256492,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:13,5,2024-06-28 14:01:13.678,4217.0,10,4215.0,326,4214.0,21,4200.0,533,4180.0,2,4230.0,9878,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:13.589,,24376030,5751,False,nan
25,4550,1041256556,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:13,5,2024-06-28 14:01:14.176,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4200.0,533,4230.0,9315,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:14.090,,24397180,5756,False,nan
26,4595,1041256616,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:14,43,2024-06-28 14:01:14.669,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4200.0,533,4230.0,9315,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:14.590,,24397180,5756,True,offer
27,4636,1041256674,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:14,1000,2024-06-28 14:01:15.186,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4200.0,533,4230.0,9272,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:15.090,,24579070,5799,False,nan
28,4680,1041256737,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:15,35,2024-06-28 14:01:15.739,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4200.0,533,4230.0,9272,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:15.609,,28809070,6799,True,offer
29,4733,1041256820,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:15,35,2024-06-28 14:01:16.197,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4200.0,533,4230.0,8237,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:16.109,,28957120,6834,False,nan
30,4776,1041256885,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:16,8237,2024-06-28 14:01:16.825,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4200.0,533,4230.0,8237,4239.95,40,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:16.746,,28957120,6834,True,offer
31,4826,1041256955,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:16,8237,2024-06-28 14:01:17.494,4230.0,1763,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4239.95,40,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:17.414,,28957120,6834,False,nan
32,4874,1041257016,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:16,8237,2024-06-28 14:01:17.994,4230.0,1763,4217.0,10,4215.0,326,4214.0,21,4200.5,10,4239.95,40,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:17.914,,63799630,15071,False,nan
33,4923,1041257082,MERV - XMEV - GGAL - 24hs,4230.0,2024-06-28 14:01:16,8237,2024-06-28 14:01:18.716,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.95,40,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:18.632,,63799630,15071,False,nan
34,4964,1041257141,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:01:19,1,2024-06-28 14:01:19.216,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.95,40,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:19.132,,63799630,15071,True,offer
35,5022,1041257218,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:01:19,1,2024-06-28 14:01:19.847,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.95,39,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:19.713,,63799630,15071,False,nan
36,5054,1041257260,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:01:19,1,2024-06-28 14:01:20.297,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.95,39,4240.0,355,4249.95,1,4250.0,433,4260.0,750,2024-06-28 14:01:20.215,,63803869,15072,False,nan
37,5083,1041257316,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:01:19,1,2024-06-28 14:01:21.139,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.0,120,4239.95,39,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:21.059,,63803869,15072,False,nan
38,5162,1041257432,MERV - XMEV - GGAL - 24hs,4239.0,2024-06-28 14:01:22,120,2024-06-28 14:01:22.479,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.0,120,4239.95,39,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:22.399,,63803869,15072,True,offer
39,5190,1041257469,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:01:22,39,2024-06-28 14:01:22.981,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4200.5,10,4239.0,120,4239.95,39,4240.0,355,4249.95,1,4250.0,433,2024-06-28 14:01:22.899,,63803869,15072,False,nan
40,5220,1041257509,MERV - XMEV - GGAL - 24hs,4239.95,2024-06-28 14:01:22,39,2024-06-28 14:01:23.510,4239.95,141,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4240.0,355,4249.95,1,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:01:23.430,,64477908,15231,False,nan
41,5590,1041258011,MERV - XMEV - GGAL - 24hs,4240.0,2024-06-28 14:01:28,15,2024-06-28 14:01:28.150,4239.95,141,4230.0,1763,4217.0,10,4215.0,306,4214.0,21,4240.0,355,4249.95,1,4250.0,433,4260.0,750,4268.0,2000,2024-06-28 14:01:28.070,,64477908,15231,True,offer
