,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,286,1099645954,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:13,104,2024-08-06 14:00:16.334,3700.0,3,3620.0,100,3600.0,1,3555.0,10,3550.0,377,3540.0,10,3580.0,200,3590.0,2000,3600.0,50,3645.0,5100,2024-08-06 14:00:16.237,,0,0,True,nan
1,326,1099646037,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:13,1,2024-08-06 14:00:16.841,3555.0,10,3550.0,377,3545.0,29,3540.0,1597,3535.0,5,3580.0,105,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:16.737,,375900,105,False,nan
2,393,1099646163,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:16,3,2024-08-06 14:00:17.338,3555.0,10,3550.0,377,3545.0,29,3540.0,1597,3535.0,5,3580.0,103,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:17.237,,383060,107,True,offer
3,434,1099646242,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:16,3,2024-08-06 14:00:17.818,3555.0,10,3550.0,377,3545.0,29,3540.0,1597,3535.0,5,3580.0,100,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:17.738,,393800,110,False,nan
4,463,1099646294,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:17,4,2024-08-06 14:00:18.317,3555.0,10,3550.0,377,3545.0,29,3540.0,1597,3535.0,5,3580.0,100,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:18.238,,393800,110,True,offer
5,479,1099646321,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:17,4,2024-08-06 14:00:18.816,3555.0,10,3550.0,377,3545.0,29,3540.0,1597,3535.0,5,3580.0,96,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:18.738,,408120,114,False,nan
6,511,1099646376,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:18,5,2024-08-06 14:00:19.316,3555.0,10,3550.0,377,3545.0,29,3540.0,1597,3535.0,5,3580.0,96,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:19.238,,408120,114,True,offer
7,531,1099646407,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:18,5,2024-08-06 14:00:19.816,3555.0,10,3550.0,377,3545.0,29,3540.0,2797,3535.0,5,3580.0,91,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:19.738,,426020,119,False,nan
8,1220,1099647452,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:18,5,2024-08-06 14:00:33.506,3555.0,10,3550.0,1977,3545.0,29,3540.0,2797,3535.0,5,3580.0,91,3590.0,2000,3600.0,50,3645.0,5100,3655.0,5000,2024-08-06 14:00:33.426,,426020,119,False,nan
9,1269,1099647527,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:18,5,2024-08-06 14:00:34.389,3555.0,10,3550.0,1977,3545.0,29,3540.0,2797,3535.0,5,3580.0,91,3590.0,2000,3600.0,50,3645.0,7840,3655.0,5000,2024-08-06 14:00:34.298,,426020,119,False,nan
10,1728,1099648410,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:18,5,2024-08-06 14:00:40.440,3555.0,10,3550.0,1977,3545.0,29,3540.0,3076,3535.0,5,3580.0,91,3590.0,2000,3600.0,50,3630.0,10000,3645.0,7840,2024-08-06 14:00:40.360,,426020,119,False,nan
11,2515,1099649523,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:18,5,2024-08-06 14:00:48.663,3555.0,110,3550.0,1977,3545.0,29,3540.0,3076,3535.0,5,3580.0,91,3590.0,2000,3600.0,50,3630.0,10000,3640.0,2750,2024-08-06 14:00:48.584,,426020,119,False,nan
12,2754,1099649916,MERV - XMEV - GGAL - 24hs,3580.0,2024-08-06 14:00:52,1,2024-08-06 14:00:52.438,3555.0,110,3550.0,1977,3545.0,29,3540.0,3076,3535.0,5,3580.0,91,3590.0,2000,3600.0,50,3630.0,10000,3640.0,2750,2024-08-06 14:00:52.360,,426020,119,True,offer
