,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,1183,1669332338,MERV - XMEV - GGAL - 24hs,6550.0,2025-06-06 14:00:23,795,2025-06-06 14:00:23.388,6670.0,20,6600.0,4,6550.0,1000,6540.0,10,6510.0,2033,6400.0,128,6430.0,3,6490.0,24,6500.0,118,6510.0,22,2025-06-06 14:00:23.253,,0,0,True,nan
1,1222,1669332411,MERV - XMEV - GGAL - 24hs,6510.0,2025-06-06 14:00:23,1536,2025-06-06 14:00:23.859,6670.0,20,6600.0,4,6550.0,1000,6540.0,10,6510.0,2033,6400.0,128,6430.0,3,6490.0,24,6500.0,118,6510.0,22,2025-06-06 14:00:23.753,,7019980,1072,False,nan
2,1250,1669332461,MERV - XMEV - GGAL - 24hs,6510.0,2025-06-06 14:00:23,1536,2025-06-06 14:00:24.371,6510.0,459,6500.0,218,6490.0,47,6480.0,1,6470.0,15,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,6650.0,29,2025-06-06 14:00:24.253,,17019340,2608,False,nan
3,1303,1669332562,MERV - XMEV - GGAL - 24hs,6500.0,2025-06-06 14:00:24,70,2025-06-06 14:00:24.859,6510.0,459,6500.0,218,6490.0,47,6480.0,1,6470.0,15,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,6650.0,29,2025-06-06 14:00:24.754,,20007430,3067,True,bid
4,1349,1669332675,MERV - XMEV - GGAL - 24hs,6500.0,2025-06-06 14:00:24,70,2025-06-06 14:00:25.626,6510.0,459,6500.0,218,6490.0,47,6480.0,1,6470.0,15,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,6650.0,29,2025-06-06 14:00:25.478,,21424430,3285,False,nan
5,1435,1669332918,MERV - XMEV - GGAL - 24hs,6500.0,2025-06-06 14:00:24,70,2025-06-06 14:00:26.406,6490.0,47,6480.0,1,6470.0,15,6460.0,1008,6450.0,76,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,6650.0,29,2025-06-06 14:00:25.979,,21424430,3285,False,nan
6,1919,1669334054,MERV - XMEV - GGAL - 24hs,6500.0,2025-06-06 14:00:24,70,2025-06-06 14:00:31.619,6490.0,47,6480.0,1,6470.0,15,6460.0,1008,6450.0,76,6550.0,1000,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:31.515,,21424430,3285,False,nan
7,1973,1669334179,MERV - XMEV - GGAL - 24hs,6490.0,2025-06-06 14:00:32,4,2025-06-06 14:00:32.634,6490.0,47,6480.0,1,6470.0,15,6460.0,1008,6450.0,76,6550.0,1000,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:32.529,,21424430,3285,True,bid
8,1998,1669334235,MERV - XMEV - GGAL - 24hs,6490.0,2025-06-06 14:00:32,17,2025-06-06 14:00:33.160,6490.0,47,6480.0,1,6470.0,15,6460.0,1008,6450.0,76,6550.0,1000,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:33.030,,21424430,3285,False,nan
9,2060,1669334373,MERV - XMEV - GGAL - 24hs,6490.0,2025-06-06 14:00:32,17,2025-06-06 14:00:33.719,6490.0,26,6480.0,1,6470.0,15,6460.0,1008,6450.0,76,6550.0,1000,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:33.532,,21560720,3306,False,nan
10,2555,1669335673,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:39,52,2025-06-06 14:00:39.587,6490.0,26,6480.0,1,6470.0,15,6460.0,1008,6450.0,76,6550.0,1000,6560.0,7000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:39.197,,21560720,3306,True,offer
11,2627,1669335890,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:39,52,2025-06-06 14:00:40.319,6490.0,26,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:39.696,,21560720,3306,False,nan
12,2663,1669335969,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:39,52,2025-06-06 14:00:40.590,6490.0,26,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6530.0,6948,6550.0,6000,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:40.197,,21900280,3358,False,nan
13,2746,1669336163,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:39,52,2025-06-06 14:00:41.723,6490.0,26,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6155,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:41.526,,21900280,3358,False,nan
14,3014,1669336834,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:39,52,2025-06-06 14:00:44.756,6490.0,26,6480.0,1001,6470.0,515,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6155,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:44.637,,21900280,3358,False,nan
15,3217,1669337344,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:48,1,2025-06-06 14:00:48.906,6490.0,26,6480.0,1001,6470.0,515,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6155,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:48.758,,21900280,3358,True,offer
16,3253,1669337435,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:48,1,2025-06-06 14:00:49.538,6490.0,26,6480.0,1001,6470.0,515,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6155,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:49.434,,21906810,3359,False,nan
17,3407,1669337789,MERV - XMEV - GGAL - 24hs,6530.0,2025-06-06 14:00:48,1,2025-06-06 14:00:52.647,6490.0,526,6480.0,1001,6470.0,515,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6155,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:52.539,,21906810,3359,False,nan
18,3668,1669338332,MERV - XMEV - GGAL - 24hs,6520.0,2025-06-06 14:00:56,1,2025-06-06 14:00:56.392,6490.0,526,6480.0,1001,6470.0,515,6460.0,1008,6450.0,76,6530.0,7000,6550.0,6155,6580.0,13,6600.0,38,6620.0,2000,2025-06-06 14:00:56.287,,21906810,3359,True,offer
19,3704,1669338410,MERV - XMEV - GGAL - 24hs,6520.0,2025-06-06 14:00:56,1,2025-06-06 14:00:57.096,6490.0,526,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6520.0,5000,6530.0,7000,6550.0,1155,6580.0,13,6600.0,38,2025-06-06 14:00:56.962,,21906810,3359,False,nan
20,3734,1669338475,MERV - XMEV - GGAL - 24hs,6520.0,2025-06-06 14:00:56,1,2025-06-06 14:00:57.571,6490.0,526,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6520.0,5000,6530.0,7000,6550.0,1155,6580.0,13,6600.0,38,2025-06-06 14:00:57.462,,21913330,3360,False,nan
21,3909,1669338861,MERV - XMEV - GGAL - 24hs,6520.0,2025-06-06 14:00:56,1,2025-06-06 14:00:59.939,6490.0,526,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6500.0,7000,6520.0,5000,6550.0,1155,6580.0,13,6600.0,5938,2025-06-06 14:00:59.808,,21913330,3360,False,nan
22,3963,1669339036,MERV - XMEV - GGAL - 24hs,6500.0,2025-06-06 14:01:00,169,2025-06-06 14:01:00.610,6490.0,526,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6500.0,7000,6520.0,5000,6550.0,1155,6580.0,13,6600.0,5938,2025-06-06 14:01:00.327,,23010140,3529,True,offer
23,4060,1669339311,MERV - XMEV - GGAL - 24hs,6500.0,2025-06-06 14:01:00,169,2025-06-06 14:01:01.475,6490.0,357,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6500.0,6831,6520.0,5000,6550.0,1155,6580.0,13,6600.0,5938,2025-06-06 14:01:00.809,,24108640,3698,False,nan
24,4568,1669340622,MERV - XMEV - GGAL - 24hs,6490.0,2025-06-06 14:01:08,357,2025-06-06 14:01:08.344,6490.0,357,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6500.0,6831,6520.0,5000,6550.0,1155,6580.0,13,6600.0,5938,2025-06-06 14:01:08.240,,24108640,3698,True,bid
25,4607,1669340728,MERV - XMEV - GGAL - 24hs,6490.0,2025-06-06 14:01:08,357,2025-06-06 14:01:08.846,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6440.0,15,6500.0,7000,6520.0,5000,6550.0,1155,6580.0,13,6600.0,5938,2025-06-06 14:01:08.739,,24108640,3698,False,nan
26,4642,1669340825,MERV - XMEV - GGAL - 24hs,6490.0,2025-06-06 14:01:08,357,2025-06-06 14:01:09.388,6480.0,1001,6470.0,15,6460.0,1008,6450.0,76,6440.0,15,6500.0,7000,6520.0,5000,6550.0,1155,6580.0,13,6600.0,5938,2025-06-06 14:01:09.239,,26425570,4055,False,nan
