,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,261,1617039477,MERV - XMEV - GGAL - 24hs,7280.0,2025-05-13 14:00:08,1171,2025-05-13 14:00:15.958,7400.0,274,7390.0,4,7350.0,140,7340.0,50,7330.0,9,7100.0,50,7200.0,200,7280.0,2000,7290.0,2029,7300.0,110,2025-05-13 14:00:15.854,,0,0,True,nan
1,300,1617039602,MERV - XMEV - GGAL - 24hs,7250.0,2025-05-13 14:00:08,1,2025-05-13 14:00:16.508,7210.0,14,7200.0,960,7190.0,11821,7140.0,8,7100.0,35,7270.0,9999,7280.0,1079,7290.0,2029,7300.0,110,7310.0,2,2025-05-13 14:00:16.354,,8532130,1172,False,nan
2,977,1617041164,MERV - XMEV - GGAL - 24hs,7250.0,2025-05-13 14:00:08,1,2025-05-13 14:00:23.459,7210.0,14,7200.0,960,7190.0,11821,7140.0,8,7100.0,35,7250.0,9999,7260.0,1000,7280.0,1079,7290.0,2029,7300.0,110,2025-05-13 14:00:23.352,,8532130,1172,False,nan
3,1602,1617042278,MERV - XMEV - GGAL - 24hs,7250.0,2025-05-13 14:00:08,1,2025-05-13 14:00:35.011,7210.0,14,7200.0,960,7190.0,11821,7140.0,8,7100.0,35,7250.0,9999,7260.0,1000,7290.0,2029,7300.0,110,7310.0,2,2025-05-13 14:00:34.903,,8532130,1172,False,nan
4,1803,1617042728,MERV - XMEV - GGAL - 24hs,7210.0,2025-05-13 14:00:36,8,2025-05-13 14:00:37.382,7210.0,14,7200.0,960,7190.0,11821,7140.0,8,7100.0,35,7250.0,9999,7260.0,1000,7290.0,2029,7300.0,110,7310.0,2,2025-05-13 14:00:37.286,,8532130,1172,True,bid
5,1822,1617042758,MERV - XMEV - GGAL - 24hs,7210.0,2025-05-13 14:00:36,6,2025-05-13 14:00:37.884,7200.0,960,7190.0,11821,7140.0,8,7100.0,35,7070.0,8,7210.0,423,7220.0,9999,7260.0,1000,7290.0,2029,7300.0,110,2025-05-13 14:00:37.786,,8633070,1186,False,nan
6,2169,1617043367,MERV - XMEV - GGAL - 24hs,7210.0,2025-05-13 14:00:44,200,2025-05-13 14:00:44.331,7200.0,960,7190.0,11821,7140.0,8,7100.0,35,7070.0,8,7210.0,423,7220.0,9999,7260.0,1000,7290.0,2029,7300.0,110,2025-05-13 14:00:44.235,,8633070,1186,True,offer
7,2204,1617043482,MERV - XMEV - GGAL - 24hs,7210.0,2025-05-13 14:00:44,200,2025-05-13 14:00:44.915,7200.0,760,7190.0,11821,7140.0,8,7100.0,35,7070.0,8,7210.0,223,7220.0,9999,7260.0,1000,7290.0,2029,7300.0,110,2025-05-13 14:00:44.751,,8633070,1186,False,nan
8,2239,1617043578,MERV - XMEV - GGAL - 24hs,7210.0,2025-05-13 14:00:44,200,2025-05-13 14:00:45.387,7200.0,760,7190.0,11821,7140.0,8,7100.0,35,7070.0,8,7210.0,223,7220.0,9999,7260.0,1000,7290.0,2029,7300.0,110,2025-05-13 14:00:45.239,,10075070,1386,False,nan
9,2619,1617044404,MERV - XMEV - GGAL - 24hs,7210.0,2025-05-13 14:00:44,200,2025-05-13 14:00:50.078,7200.0,344,7190.0,11821,7140.0,8,7100.0,35,7070.0,8,7210.0,223,7220.0,9999,7260.0,1000,7290.0,2029,7300.0,110,2025-05-13 14:00:49.980,,10075070,1386,False,nan
