,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,369,1717130101,MERV - XMEV - GGAL - 24hs,6100.0,2025-07-01 14:00:09,2280,2025-07-01 14:00:09.245,6200.0,20,6150.0,17,6120.0,22,6100.0,5104,6080.0,260,5900.0,116,6000.0,589,6050.0,500,6080.0,20,6100.0,1055,2025-07-01 14:00:09.221,,0,0,True,nan
1,416,1717130227,MERV - XMEV - GGAL - 24hs,6100.0,2025-07-01 14:00:09,2280,2025-07-01 14:00:10.245,6100.0,2883,6080.0,260,6060.0,600,6050.0,600,6040.0,4,6120.0,150,6150.0,50,6170.0,9,6200.0,5134,6220.0,10,2025-07-01 14:00:10.221,,13908000,2280,False,nan
2,537,1717130670,MERV - XMEV - GGAL - 24hs,6100.0,2025-07-01 14:00:09,2280,2025-07-01 14:00:13.004,6100.0,2883,6080.0,260,6060.0,600,6050.0,600,6040.0,4004,6120.0,150,6150.0,50,6170.0,9,6200.0,5134,6210.0,1000,2025-07-01 14:00:12.546,,13908000,2280,False,nan
3,715,1717131172,MERV - XMEV - GGAL - 24hs,6120.0,2025-07-01 14:00:15,107,2025-07-01 14:00:16.024,6100.0,2883,6080.0,260,6060.0,600,6050.0,600,6040.0,4004,6120.0,150,6150.0,50,6170.0,9,6200.0,5134,6210.0,1000,2025-07-01 14:00:15.970,,13908000,2280,True,offer
4,776,1717131281,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:16.494,6100.0,2883,6080.0,260,6060.0,600,6050.0,600,6040.0,4004,6120.0,150,6150.0,50,6170.0,9,6200.0,5134,6210.0,1000,2025-07-01 14:00:16.469,,14826000,2430,True,offer
5,834,1717131382,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:17.018,6100.0,2883,6080.0,260,6060.0,600,6050.0,600,6040.0,4004,6170.0,9,6200.0,5134,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:16.970,,15133500,2480,False,nan
6,1003,1717131726,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:19.386,6100.0,2883,6080.0,260,6060.0,600,6050.0,600,6040.0,1004,6170.0,9,6200.0,5134,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:19.344,,15133500,2480,False,nan
7,1140,1717132028,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:21.955,6100.0,2883,6080.0,1260,6060.0,600,6050.0,1100,6040.0,4,6170.0,9,6200.0,5134,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:21.902,,15133500,2480,False,nan
8,1295,1717132458,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:23.801,6100.0,2883,6080.0,260,6070.0,2000,6060.0,600,6050.0,1100,6170.0,9,6200.0,5134,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:23.085,,15133500,2480,False,nan
9,1399,1717132648,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:24.495,6100.0,2883,6080.0,260,6070.0,2000,6060.0,600,6050.0,1100,6170.0,9,6200.0,5189,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:24.153,,15133500,2480,False,nan
10,2049,1717133899,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:31.525,6110.0,900,6100.0,2883,6080.0,260,6070.0,2000,6060.0,600,6170.0,9,6200.0,5189,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:31.499,,15133500,2480,False,nan
11,2407,1717134700,MERV - XMEV - GGAL - 24hs,6150.0,2025-07-01 14:00:16,50,2025-07-01 14:00:35.446,6110.0,4900,6100.0,2883,6080.0,260,6060.0,600,6050.0,1100,6170.0,9,6200.0,5189,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:34.850,,15133500,2480,False,nan
12,2529,1717135005,MERV - XMEV - GGAL - 24hs,6170.0,2025-07-01 14:00:35,9,2025-07-01 14:00:36.484,6110.0,4900,6100.0,2883,6080.0,260,6060.0,600,6050.0,1100,6170.0,9,6200.0,5189,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:35.343,,15133500,2480,True,offer
13,2576,1717135098,MERV - XMEV - GGAL - 24hs,6200.0,2025-07-01 14:00:35,32,2025-07-01 14:00:36.803,6110.0,4900,6100.0,2883,6080.0,260,6060.0,600,6050.0,1100,6170.0,9,6200.0,5189,6210.0,1000,6220.0,10,6230.0,9,2025-07-01 14:00:35.843,,15133500,2480,False,nan
14,2630,1717135199,MERV - XMEV - GGAL - 24hs,6200.0,2025-07-01 14:00:35,32,2025-07-01 14:00:37.167,6110.0,4900,6100.0,2883,6080.0,260,6060.0,600,6050.0,1100,6200.0,5150,6210.0,1000,6220.0,10,6230.0,9,6280.0,6000,2025-07-01 14:00:36.346,,15430830,2528,False,nan
15,2728,1717135377,MERV - XMEV - GGAL - 24hs,6200.0,2025-07-01 14:00:37,68,2025-07-01 14:00:37.819,6110.0,4900,6100.0,2883,6080.0,260,6060.0,600,6050.0,1100,6200.0,5150,6210.0,1000,6220.0,10,6230.0,9,6280.0,6000,2025-07-01 14:00:37.379,,15430830,2528,True,offer
16,2777,1717135495,MERV - XMEV - GGAL - 24hs,6200.0,2025-07-01 14:00:37,260,2025-07-01 14:00:38.251,6110.0,4900,6100.0,3883,6080.0,260,6060.0,600,6050.0,1100,6200.0,4795,6210.0,1000,6220.0,10,6230.0,9,6280.0,6000,2025-07-01 14:00:37.879,,15430830,2528,False,nan
