,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,903,1054381256,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:29,4024,2024-07-05 14:00:29.522,4191.0,2,4174.0,1,4167.0,1,4152.0,1,4131.0,1,3894.05,78,3950.0,109,3955.0,72,3957.0,4366,3960.0,124,2024-07-05 14:00:29.445,,0,0,True,nan
1,961,1054381330,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:29,4024,2024-07-05 14:00:30.064,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,601,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:29.957,,0,0,False,nan
2,1230,1054381649,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:31,3,2024-07-05 14:00:31.813,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,601,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:31.458,,15946710,4030,True,offer
3,1318,1054381771,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:31,173,2024-07-05 14:00:32.460,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,592,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:31.958,,15958581,4033,False,nan
4,1394,1054381891,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:32,17,2024-07-05 14:00:33.094,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,592,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:32.459,,17125896,4328,True,offer
5,1451,1054381981,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:32,47,2024-07-05 14:00:33.544,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,280,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:32.959,,17193165,4345,False,nan
6,1503,1054382054,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:33,44,2024-07-05 14:00:33.900,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,280,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:33.459,,17379144,4392,True,offer
7,1550,1054382123,MERV - XMEV - GGAL - 24hs,3957.0,2024-07-05 14:00:33,44,2024-07-05 14:00:34.235,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,189,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:33.959,,17553252,4436,False,nan
8,1756,1054382410,MERV - XMEV - GGAL - 24hs,3951.0,2024-07-05 14:00:36,58,2024-07-05 14:00:36.325,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,189,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:36.091,,17553252,4436,True,bid
9,1798,1054382468,MERV - XMEV - GGAL - 24hs,3950.0,2024-07-05 14:00:36,465,2024-07-05 14:00:36.686,3951.0,100,3950.0,612,3945.0,36,3942.0,126,3930.0,1,3957.0,189,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:36.591,,18529002,4683,False,nan
10,1857,1054382555,MERV - XMEV - GGAL - 24hs,3945.0,2024-07-05 14:00:37,13,2024-07-05 14:00:37.182,3945.0,36,3942.0,126,3930.0,1,3925.0,15000,3920.0,1121,3957.0,189,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:37.091,,20365752,5148,True,bid
11,1920,1054382643,MERV - XMEV - GGAL - 24hs,3945.0,2024-07-05 14:00:37,13,2024-07-05 14:00:37.790,3945.0,23,3942.0,126,3930.0,1,3925.0,15000,3920.0,1121,3957.0,189,3960.0,124,3990.0,5329,3994.0,1000,4000.0,51,2024-07-05 14:00:37.687,,20365752,5148,False,nan
