,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,362,1895807103,MERV - XMEV - GGAL - 24hs,4550.0,2025-09-12 13:30:11,91,2025-09-12 13:30:12.807,4700.0,2,4600.0,83,4550.0,6,4540.0,2,4527.5,78,4365.0,34,4550.0,184,4575.0,15,4590.0,3050,4600.0,60,2025-09-12 13:30:11.167,,0,0,True,nan
1,409,1895807245,MERV - XMEV - GGAL - 24hs,4550.0,2025-09-12 13:30:11,91,2025-09-12 13:30:13.515,4540.0,2,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4550.0,127,4575.0,15,4590.0,3050,4600.0,60,4610.0,130,2025-09-12 13:30:12.167,,414050,91,False,nan
2,492,1895807569,MERV - XMEV - GGAL - 24hs,4540.0,2025-09-12 13:30:14,2,2025-09-12 13:30:14.922,4540.0,2,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4550.0,127,4575.0,15,4590.0,3050,4600.0,60,4610.0,130,2025-09-12 13:30:14.845,,414050,91,True,bid
3,531,1895807654,MERV - XMEV - GGAL - 24hs,4540.0,2025-09-12 13:30:14,2,2025-09-12 13:30:15.589,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4540.0,2,4550.0,127,4575.0,15,4590.0,3050,4600.0,60,2025-09-12 13:30:15.513,,414050,91,False,nan
4,562,1895807713,MERV - XMEV - GGAL - 24hs,4540.0,2025-09-12 13:30:14,2,2025-09-12 13:30:16.089,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4540.0,2,4550.0,127,4575.0,15,4590.0,3050,4600.0,60,2025-09-12 13:30:16.013,,423130,93,False,nan
5,635,1895807890,MERV - XMEV - GGAL - 24hs,4550.0,2025-09-12 13:30:17,127,2025-09-12 13:30:17.395,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4540.0,2,4550.0,127,4575.0,15,4590.0,3050,4600.0,60,2025-09-12 13:30:17.315,,423130,93,True,offer
6,655,1895807948,MERV - XMEV - GGAL - 24hs,4590.0,2025-09-12 13:30:17,26,2025-09-12 13:30:17.893,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4540.0,2,4550.0,127,4575.0,15,4590.0,3050,4600.0,60,2025-09-12 13:30:17.816,,423130,93,False,nan
7,674,1895808008,MERV - XMEV - GGAL - 24hs,4590.0,2025-09-12 13:30:17,26,2025-09-12 13:30:18.393,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4590.0,2974,4600.0,60,4610.0,130,4620.0,64,4627.5,219,2025-09-12 13:30:18.316,,1418445,311,False,nan
8,922,1895808581,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,1,2025-09-12 13:30:22.866,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4590.0,2974,4600.0,60,4610.0,130,4620.0,64,4627.5,219,2025-09-12 13:30:22.789,,1418445,311,True,bid
9,963,1895808655,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,2,2025-09-12 13:30:23.370,4527.5,78,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4590.0,2974,4600.0,60,4610.0,130,4620.0,64,4627.5,219,2025-09-12 13:30:23.289,,1418445,311,False,nan
10,999,1895808738,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,2,2025-09-12 13:30:23.866,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4527.5,3,4590.0,3000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:23.789,,1771590,389,False,nan
11,1156,1895809076,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,2,2025-09-12 13:30:26.024,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4590.0,3000,4600.0,60,4610.0,130,4620.0,64,4627.5,219,2025-09-12 13:30:25.904,,1771590,389,False,nan
12,1282,1895809361,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,2,2025-09-12 13:30:28.032,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4575.0,438,4577.5,3000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:27.771,,1771590,389,False,nan
13,1323,1895809458,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,2,2025-09-12 13:30:28.578,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4570.0,438,4572.5,4000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:28.501,,1771590,389,False,nan
14,1561,1895810339,MERV - XMEV - GGAL - 24hs,4527.5,2025-09-12 13:30:22,2,2025-09-12 13:30:31.827,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4570.0,438,4572.5,5000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:31.738,,1771590,389,False,nan
15,2216,1895812379,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:42,5,2025-09-12 13:30:42.175,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4570.0,438,4572.5,5000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:42.098,,1771590,389,True,bid
16,2242,1895812446,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:42,43,2025-09-12 13:30:42.675,4525.0,48,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4570.0,438,4572.5,5000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:42.597,,1771590,389,False,nan
17,2276,1895812535,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:42,43,2025-09-12 13:30:43.174,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4525.0,952,4570.0,438,4572.5,5000,4600.0,60,4610.0,130,2025-09-12 13:30:43.098,,1988790,437,False,nan
18,2297,1895812629,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:42,43,2025-09-12 13:30:43.830,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4525.0,952,4570.0,438,4572.5,4000,4600.0,60,4610.0,130,2025-09-12 13:30:43.722,,1988790,437,False,nan
19,2322,1895812694,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:42,43,2025-09-12 13:30:44.478,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4525.0,952,4570.0,438,4572.5,2000,4600.0,60,4610.0,130,2025-09-12 13:30:44.399,,1988790,437,False,nan
20,2487,1895813127,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:46,952,2025-09-12 13:30:46.504,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4525.0,952,4570.0,438,4572.5,2000,4600.0,60,4610.0,130,2025-09-12 13:30:46.239,,1988790,437,True,offer
21,2522,1895813215,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:46,952,2025-09-12 13:30:46.981,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4570.0,438,4572.5,2000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:46.905,,1988790,437,False,nan
22,2562,1895813313,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:46,952,2025-09-12 13:30:47.486,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4570.0,438,4572.5,2000,4600.0,60,4610.0,130,4620.0,64,2025-09-12 13:30:47.405,,6296590,1389,False,nan
23,2633,1895813520,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:46,952,2025-09-12 13:30:48.638,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4545.0,438,4557.5,10000,4572.5,2000,4600.0,60,4610.0,130,2025-09-12 13:30:48.560,,6296590,1389,False,nan
24,2748,1895813872,MERV - XMEV - GGAL - 24hs,4525.0,2025-09-12 13:30:46,952,2025-09-12 13:30:50.750,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4545.0,438,4557.5,10000,4570.0,900,4572.5,2000,4600.0,60,2025-09-12 13:30:50.673,,6296590,1389,False,nan
25,2839,1895814115,MERV - XMEV - GGAL - 24hs,4545.0,2025-09-12 13:30:52,1,2025-09-12 13:30:52.217,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4545.0,438,4557.5,10000,4570.0,900,4572.5,2000,4600.0,60,2025-09-12 13:30:52.138,,6296590,1389,True,offer
26,2871,1895814191,MERV - XMEV - GGAL - 24hs,4520.0,2025-09-12 13:30:52,28,2025-09-12 13:30:52.716,4520.0,1231,4500.0,579,4490.0,1,4485.0,5,4480.0,20,4545.0,437,4557.5,10000,4570.0,900,4572.5,3000,4600.0,60,2025-09-12 13:30:52.638,,6301135,1390,False,nan
