,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,15,1775077109,MERV - XMEV - GGAL - 24hs,6220.0,2025-07-24 14:00:00,496,2025-07-24 14:00:01.069,6300.0,1,6240.0,11,6230.0,2,6220.0,571,6200.0,39989,6100.0,15,6220.0,481,6230.0,18,6240.0,920,6250.0,62,2025-07-24 14:00:00.974,,0,0,True,nan
1,40,1775077213,MERV - XMEV - GGAL - 24hs,6220.0,2025-07-24 14:00:00,496,2025-07-24 14:00:02.120,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6160.0,2,6230.0,18,6240.0,920,6250.0,62,6270.0,3,6280.0,404,2025-07-24 14:00:01.974,,3085120,496,False,nan
2,62,1775077264,MERV - XMEV - GGAL - 24hs,6230.0,2025-07-24 14:00:02,3,2025-07-24 14:00:02.552,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6160.0,2,6230.0,18,6240.0,920,6250.0,62,6270.0,3,6280.0,404,2025-07-24 14:00:02.474,,3085120,496,True,offer
3,71,1775077323,MERV - XMEV - GGAL - 24hs,6230.0,2025-07-24 14:00:02,15,2025-07-24 14:00:03.047,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6160.0,2,6230.0,18,6240.0,920,6250.0,62,6270.0,3,6280.0,404,2025-07-24 14:00:02.975,,3085120,496,False,nan
4,92,1775077416,MERV - XMEV - GGAL - 24hs,6230.0,2025-07-24 14:00:02,15,2025-07-24 14:00:03.620,6230.0,1982,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6240.0,920,6250.0,62,6270.0,3,6280.0,404,6300.0,5799,2025-07-24 14:00:03.475,,3197260,514,False,nan
5,156,1775077699,MERV - XMEV - GGAL - 24hs,6240.0,2025-07-24 14:00:05,900,2025-07-24 14:00:06.022,6230.0,1982,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6240.0,920,6250.0,62,6270.0,3,6280.0,404,6300.0,5799,2025-07-24 14:00:05.949,,3197260,514,True,offer
6,170,1775077738,MERV - XMEV - GGAL - 24hs,6240.0,2025-07-24 14:00:05,20,2025-07-24 14:00:06.522,6230.0,1982,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6240.0,920,6250.0,62,6270.0,3,6280.0,404,6300.0,5799,2025-07-24 14:00:06.450,,3197260,514,False,nan
7,178,1775077766,MERV - XMEV - GGAL - 24hs,6240.0,2025-07-24 14:00:05,20,2025-07-24 14:00:07.022,6230.0,1982,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6250.0,62,6270.0,3,6280.0,404,6300.0,5799,6310.0,15029,2025-07-24 14:00:06.950,,8938060,1434,False,nan
8,209,1775077857,MERV - XMEV - GGAL - 24hs,6250.0,2025-07-24 14:00:07,24,2025-07-24 14:00:07.728,6230.0,1982,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6250.0,62,6270.0,3,6280.0,404,6300.0,5799,6310.0,15029,2025-07-24 14:00:07.656,,8938060,1434,True,offer
9,240,1775077923,MERV - XMEV - GGAL - 24hs,6250.0,2025-07-24 14:00:07,8,2025-07-24 14:00:08.236,6230.0,1982,6220.0,89,6200.0,49989,6180.0,43,6170.0,61,6250.0,62,6270.0,3,6280.0,404,6300.0,5799,6310.0,15029,2025-07-24 14:00:08.155,,8938060,1434,False,nan
